,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
1156,3471590,201.6299194,450.8582062,19.77173592,19511080.0,0.704348163,2.686884352,2457622.043,168.9386863,0.446388211,1,2
1157,2455415,152.9519353,342.0109247,7.011737305,66923300.0,1.036413791,1.527218949,2458097.318,294.2462048,0.67914945,0,1
1158,3515380,73.20739893,163.6967205,16.75903886,32055784.0,0.732561832,1.577178816,2457931.583,54.7302859,0.794153111,0,1
1159,2477524,461.9074603,1032.856481,18.74824137,60645220.0,1.221485872,1.334083146,2457928.728,48.97511466,0.682366419,0,2
1160,3653259,66.76594135,149.2931834,20.84424346,62455876.0,0.640538073,1.078763121,2457934.781,81.26682112,1.236576873,0,1
1161,3423827,84.05334021,187.9489824,16.54640108,67682216.0,0.46049863,1.425863439,2458113.65,238.2507748,1.075998052,0,1
1162,3690051,231.5021222,517.6544822,12.33057749,61196952.0,0.696237974,1.715473494,2457976.15,18.12391588,0.744322324,1,2
1163,3733852,121.4940408,271.6689341,12.95583266,26188328.0,0.615932578,2.233462973,2457883.715,67.68716601,0.57958876,0,1
1164,3759277,55.53349116,124.1766613,18.81596885,16818482.0,0.528558408,2.683282006,2457573.001,31.72164498,0.484304082,0,1
1165,3126185,291.4439045,651.6883822,16.37255397,58314756.0,0.568114363,1.793097562,2457917.647,63.65833484,0.768327921,0,2
1166,3160748,4.023045798,8.995803882,13.20932454,56849600.0,0.614869854,1.152727088,2457979.601,24.79173484,1.186244482,0,0
1167,3309828,221.0828104,494.3561926,19.68974057,68138024.0,0.495394568,0.991378058,2458054.708,276.641821,1.537737597,1,2
1168,3747315,11.08038821,24.77650126,22.82462864,70754448.0,0.589366594,1.093896567,2457932.079,87.33995138,1.276500647,0,0
1169,3342322,73.20739893,163.6967205,6.8177444,11264975.0,0.526801645,1.083255997,2458082.702,247.8325421,1.364542072,0,1
1170,2309662,291.4439045,651.6883822,10.94145023,44507532.0,0.773321983,1.189360529,2457883.869,118.2466892,1.01385066,0,2
1171,3440396,63.76097899,142.5738833,11.1229122,28941416.0,0.571429425,1.196859084,2457934.83,77.85462287,1.18554865,0,1
1172,3435023,30.51792326,68.24015094,6.465051893,11802212.0,0.723845916,1.255556642,2457916.204,84.38252148,1.001031806,0,0
1173,3745995,92.16265485,206.0819612,30.0041989,65412280.0,0.376463446,1.288724973,2457922.307,101.4432713,1.297340556,0,1
1174,3182828,183.8886721,411.187571,5.980025956,47337784.0,1.181024715,2.478940048,2457691.125,123.1739668,0.398138074,0,1
1175,2367943,42.12646106,94.19763057,7.819969737,34052.76953,0.828952108,0.991616219,2458100.272,246.7731978,1.134850342,0,1
1176,3726787,69.91252322,156.3291544,6.459631348,23388612.0,1.15075357,3.108813254,2458388.753,236.8835503,0.317103411,0,1
1177,3756948,12.72198785,28.44722965,9.737896788,3457276.75,0.995950861,4.080111591,2457571.917,7.94238487,0.243757862,0,0
1178,3477575,9.650614696,21.57943048,4.865717539,4610808.5,1.013414453,2.190300684,2458126.145,298.9177984,0.486147691,0,0
1179,2450203,265.8,594.3468684,10.65488381,32523682.0,1.185224463,2.146696097,2458027.293,347.7189935,0.458360421,0,1
1180,3689018,16.77084622,37.50075218,16.77359839,58483464.0,0.590969939,1.055435615,2457878.575,160.8924542,1.31960464,0,0
1181,2297418,530.3407233,1185.877909,15.26452137,28782160.0,0.432487417,1.190239622,2457878.298,164.8010467,1.348592868,1,2
1182,2162173,366.9061375,820.4270649,11.06587231,36182688.0,0.963205914,1.415915205,2457797.751,154.0217068,0.759668711,1,2
1183,3699893,11.08038821,24.77650126,2.683853974,17471656.0,0.960374917,1.108282105,2458073.062,292.0134404,0.936949814,0,0
1184,3762164,42.12646106,94.19763057,6.213129946,66397648.0,0.950939665,1.351051416,2457777.225,178.2104402,0.798166714,0,0
1185,2373135,334.6223745,748.2383761,26.87480509,71346480.0,0.830495997,2.475140979,2458007.556,356.7272132,0.463838006,1,2
1186,3619726,73.20739893,163.6967205,7.334753534,12577952.0,0.95668172,1.595113188,2457940.871,40.77934453,0.683880811,0,1
1187,3166087,31.95618867,71.45621017,5.961627373,50066136.0,0.909037621,1.48836875,2458173.435,230.1265149,0.750994203,0,0
1188,3723955,146.0679643,326.6178974,14.62963952,47280360.0,0.718199616,1.497352293,2457794.969,173.741112,0.845329788,0,1
1189,3600006,66.76594135,149.2931834,19.79974736,5419523.0,0.571743647,2.619461164,2458133.357,295.0318578,0.489009223,0,1
1190,3545558,10.10543415,22.59643771,12.55217618,18219530.0,0.50803401,1.153422125,2458016.803,338.7787407,1.301714515,0,0
1191,3360539,305.1792326,682.4015094,17.30008411,70713216.0,1.179489508,2.253039137,2458138.922,299.3218021,0.438356865,0,2
1192,3735654,55.53349116,124.1766613,19.04974801,50950388.0,0.851181958,1.786967955,2457854.563,94.94346182,0.650578731,0,1
1193,3752517,183.8886721,411.187571,18.32536297,38503608.0,0.666736218,1.897061554,2458156.734,253.9040324,0.679083876,0,2
1194,3754270,46.19074603,103.2856481,28.37666049,8769356.0,0.341486722,3.874330632,2457598.612,345.1496224,0.322052286,0,1
1195,3634129,53.03407233,118.5877909,7.049368465,35498228.0,1.140169128,2.005814611,2457834.197,83.0836567,0.499590714,0,1
1196,3591611,160.160338,358.129403,14.25191158,56166132.0,0.816413755,1.512672274,2458137.97,252.1847744,0.784279335,1,2
1197,3654336,253.8370294,567.5968529,21.28246474,58337980.0,0.717985635,1.680324271,2457787.812,159.6375646,0.750569851,0,2
1198,3646047,105.8168859,236.6137501,10.28141614,53548272.0,0.751820039,1.319181927,2457930.643,65.34100612,0.935358938,0,1
1199,3429818,58.15070396,130.028927,9.211839245,38263144.0,0.73491803,1.396790574,2457877.501,110.1686537,0.895689143,0,1
1200,2488580,319.5618867,714.5621017,18.98382657,73234024.0,1.102461433,2.580166028,2457989.102,4.496313528,0.394468553,0,2
1201,3092110,291.4439045,651.6883822,8.045368615,34053504.0,0.920617215,1.922200007,2457999.293,0.701832252,0.581601691,0,1
1202,3552578,53.03407233,118.5877909,6.368218127,26466610.0,0.800001975,1.292474018,2457969.792,28.28216611,0.920997267,0,1
1203,3430491,253.8370294,567.5968529,18.17725143,52396428.0,0.66918984,2.978888931,2458268.92,252.6089326,0.400085449,0,2
1204,3511833,461.9074603,1032.856481,18.74147945,60646160.0,1.221604778,1.334066716,2457401.234,135.9645366,0.682325378,0,2
